Customer_ID,Name,Age,Gender,City,Occupation,Annual_Income,Credit_Score
10001,John Garza,50,Male,Pune,Teacher,1585087,830
10002,Jonathan Hopkins,21,Male,Pune,Doctor,402053,551
10003,Connie Williams,68,Male,Kolkata,Engineer,2325449,791
10004,Jasmine Solomon,57,Female,Hyderabad,Teacher,2462787,745
10005,Steven Watts,35,Male,Ahmedabad,Engineer,1297717,833
10006,Randall Davis,52,Male,Delhi,Doctor,2876474,734
10007,John Collins,21,Female,Ahmedabad,Doctor,2487870,756
10008,Timothy Wright,58,Male,Bangalore,Private Employee,1330147,760
10009,Gary Davis,24,Female,Kolkata,Business Owner,545271,691
10010,Joyce Jackson,42,Female,Kolkata,Doctor,2259389,732
10011,James Brown,47,Male,Hyderabad,Teacher,1368134,831
10012,Angela Gutierrez,25,Female,Bangalore,Teacher,2153306,747
10013,Andrea Brown,66,Male,Kolkata,Doctor,2460534,751
10014,Dawn Vaughn,31,Female,Kolkata,Engineer,1062283,790
10015,Valerie Nixon,61,Male,Hyderabad,Business Owner,2454656,768
10016,Paul Williams,61,Female,Chennai,Private Employee,227202,480
10017,Howard Snyder,41,Male,Bangalore,Doctor,2534995,712
10018,Robin Atkinson,49,Male,Chennai,Doctor,2255525,704
10019,Bethany Burton,48,Female,Chennai,Business Owner,297553,517
10020,Denise Allen,37,Female,Kolkata,Doctor,782329,629
10021,Kathy Smith,27,Male,Delhi,Business Owner,2571483,767
10022,Victoria Taylor,39,Male,Chennai,Government Employee,1903660,834
10023,David Wilson,21,Female,Kolkata,Student,2039130,725
10024,Michelle Barnes,53,Male,Chennai,Teacher,2164243,710
10025,Laura Richards,23,Male,Mumbai,Government Employee,1805808,798
10026,Erin Mathews,31,Male,Ahmedabad,Private Employee,2059639,715
10027,David Michael,37,Male,Pune,Engineer,1820020,741
10028,Sheri Nunez,45,Male,Pune,Teacher,2531474,735
10029,April Wang,38,Male,Chennai,Private Employee,2980178,739
10030,Jason Owen,41,Male,Ahmedabad,Government Employee,2961166,821
10031,Kelli Blevins,54,Male,Bangalore,Student,1726294,747
10032,Jerry Rivera,22,Female,Kolkata,Government Employee,1677278,828
10033,Roy Torres,53,Female,Kolkata,Teacher,2630357,711
10034,Tammy Rogers,56,Male,Delhi,Teacher,1596709,752
10035,Julia Watson PhD,35,Female,Kolkata,Government Employee,2248244,827
10036,Sheila Farley,34,Female,Delhi,Private Employee,990037,704
10037,Elizabeth Stone,70,Female,Ahmedabad,Doctor,835541,626
10038,Larry Singh,70,Female,Ahmedabad,Teacher,1039984,771
10039,Margaret Salazar,22,Female,Pune,Doctor,2460646,751
10040,Lisa Ellis,33,Male,Chennai,Private Employee,2417412,722
10041,Lisa Collins,52,Male,Chennai,Engineer,1457354,713
10042,Jean Davila,42,Male,Pune,Doctor,996412,691
10043,Kenneth Brown,60,Male,Pune,Private Employee,1428404,742
10044,Laura Sandoval,28,Male,Ahmedabad,Teacher,2506766,764
10045,Michael Shields,63,Male,Delhi,Government Employee,1821256,809
10046,Amber Wall,33,Female,Chennai,Private Employee,1536886,842
10047,Isabella Henderson,27,Male,Mumbai,Student,621531,639
10048,Gina Bryant,27,Male,Mumbai,Business Owner,729727,648
10049,Duane Moore,34,Female,Pune,Doctor,768310,692
10050,Patricia Brown,62,Male,Chennai,Engineer,1443198,850
10051,Katherine Barr,51,Male,Chennai,Government Employee,987908,722
10052,Travis Jones,61,Female,Kolkata,Student,1465859,741
10053,Carla Robertson,68,Male,Pune,Engineer,461866,450
10054,Scott Dalton,25,Male,Kolkata,Business Owner,1682916,806
10055,Virginia Williams,45,Male,Delhi,Engineer,2262797,841
10056,Randy Alvarez,52,Female,Chennai,Engineer,1212877,848
10057,Jordan Berry,50,Male,Chennai,Government Employee,1243637,753
10058,Holly Harris,67,Male,Kolkata,Doctor,2805426,744
10059,Robert Calhoun,66,Male,Pune,Business Owner,1648007,753
10060,Michael Nunez,41,Male,Delhi,Engineer,1421167,842
10061,Traci Davis,64,Male,Kolkata,Engineer,1555707,769
10062,Jessica Stevens,65,Female,Ahmedabad,Student,872369,736
10063,Molly Butler,48,Male,Kolkata,Business Owner,2551387,817
10064,Zachary Chambers,38,Male,Chennai,Business Owner,2231108,847
10065,Jonathan Payne,49,Male,Mumbai,Private Employee,922258,601
10066,Diana Huerta,44,Male,Ahmedabad,Teacher,2194761,822
10067,Caleb Lester,43,Female,Hyderabad,Engineer,2265115,815
10068,Andrew Boyd,27,Male,Mumbai,Student,231490,418
10069,Allison Guerrero DVM,48,Male,Ahmedabad,Business Owner,1825465,789
10070,Sara Ponce,53,Female,Pune,Government Employee,1305765,731
10071,Nicole Hayes,30,Female,Bangalore,Engineer,2039868,840
10072,Joshua Gray,63,Male,Delhi,Private Employee,262033,645
10073,Karen Smith,67,Male,Chennai,Business Owner,2379254,825
10074,David Lopez,61,Female,Kolkata,Private Employee,2824434,758
10075,Courtney Smith,47,Male,Chennai,Teacher,230381,599
10076,Juan Wolfe,53,Female,Ahmedabad,Business Owner,2649096,811
10077,William Griffith,33,Female,Mumbai,Business Owner,1431563,720
10078,Ashley Hartman,41,Female,Hyderabad,Teacher,1180721,723
10079,Martin Morgan,37,Female,Kolkata,Private Employee,2009573,711
10080,Miranda Frederick,67,Male,Bangalore,Doctor,233813,615
